Roster,Time_Out,Origin,Route,Destination,Time_In,Days,Operating Hrs,Layover Hrs,Meal Hrs,Dead Hrs,Operating Dist,Dead Dist,Fuel Cost,Bus Hrs Cost,Tot Roster Cost,Tot Closure Cost,Type
1,2:32,Helensberg,Dead,Dapto Station,3:07,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
1,3:12,Dapto Station,43SC,Central Station,4:57,Sat 01-Jul-2023,1:45,0:00,,,100.656,0,,,,,
1,5:14,Central Station,43SC,Dapto Station,7:09,Sat 01-Jul-2023,1:55,0:17,,,99.662,0,,,,,
1,7:38,Dapto Station,43SC,Central Station,9:40,Sat 01-Jul-2023,2:02,0:29,,,100.656,0,,,,,
1,9:41,Meal Break Start,MB,Meal Break End,10:11,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
1,10:20,Central Station,43SC,Dapto Station,12:55,Sat 01-Jul-2023,2:35,0:09,,,99.662,0,,,,,
1,12:55,Dapto Station,43SC,Helensberg,13:29,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
1,12:49,Helensberg,43SC,Dapto Station,13:19,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
1,13:24,Dapto Station,43SC,Central Station,15:44,Sat 01-Jul-2023,2:20,0:29,,,100.656,0,,,,,
1,16:32,Central Station,43SC,Dapto Station,18:50,Sat 01-Jul-2023,2:18,0:48,,,99.662,0,,,,,
1,18:51,Meal Break Start,MB,Meal Break End,19:21,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
1,19:52,Dapto Station,43SC,Central Station,21:50,Sat 01-Jul-2023,1:58,0:31,,,100.656,0,,,,,
1,22:26,Central Station,43SC,Dapto Station,24:21:00,Sat 01-Jul-2023,1:55,0:36,,,99.662,0,,,,,
1,24:26:00,Dapto Station,Dead,Helensberg,25:00:00,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,22:28,,16:48,3:36,1:00,2:18,801.272,183.656,$660.89 ,"$2,790.67 ","$3,451.56 ","$3,451.56 ",coach
,,,,,,,,,,,,,,,,,
2,2:33,Helensberg,Dead,Central Station,4:35,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
2,4:40,Central Station,43SC,Dapto Station,6:33,Sat 01-Jul-2023,1:53,0:00,,,99.662,0,,,,,
2,7:00,Dapto Station,43SC,Central Station,8:58,Sat 01-Jul-2023,1:58,0:27,,,100.656,0,,,,,
2,9:33,Central Station,43SC,Dapto Station,12:05,Sat 01-Jul-2023,2:32,0:35,,,99.662,0,,,,,
2,12:06,Meal Break Start,MB,Meal Break End,12:36,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
2,12:50,Dapto Station,43SC,Central Station,15:10,Sat 01-Jul-2023,2:20,0:14,,,100.656,0,,,,0,
2,15:10,Central Station,43SC,Helensberg,16:09,Sat 01-Jul-2023,,0:00,,0:59,0,57.819,,,,,
2,14:49,Helensberg,43SC,Central Station,15:44,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
2,15:49,Central Station,43SC,Dapto Station,18:17,Sat 01-Jul-2023,2:28,0:39,,,99.662,0,,,,,
2,18:43,Dapto Station,43SC,Central Station,20:49,Sat 01-Jul-2023,2:06,0:26,,,100.656,0,,,,,
